manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
,21087 - 25/02/2022,Bulk Packing Machine,Bulk Packing Machine,ARALIYA SEEDS,Araliya Seeds (Pvt) Ltd,,,,Mr.Tharaka
,DCF-400-A/G003394,Automatic Powder Packing Machine DCF 400 - A,Automatic Powder Packing Machine DCF 400 - A,SIVANARUL,Sivanarul Production Centre,,,,0
,NO S/N - 215557 -1,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,NO S/N - 215557 -2,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,NO S/N - 215557 -3,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,NO S/N - 215557 -4,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,NO S/N - 215557 -5,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,NO S/N - 215557 -6,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,NO S/N - 215557 -7,Bottle Conveyor System - m - SCAN,Bottle Conveyor System - m - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,XP-18,Glass Bottle Washing Machine - SCAN,Glass Bottle Washing Machine - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,MC-24,Manual Washing Machine - SCAN,Manual Washing Machine - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,SC-24,Semi-auto Bottle Bruching Machine - SCAN,Semi-auto Bottle Bruching Machine - SCAN,SCAN,C W Mackie Plc,,,,Mr.Ranil
,21392,CABINET DRYERS 3PH40050HZ,CABINET DRYERS 3PH40050HZ,MICRO ELECTRIC,Micro Electric International Pvt Ltd,,,,0
3CD00000946,3CD00000946,CABINET DRYERS 3PH40050HZ,CABINET DRYERS 3PH40050HZ,,Micro Electric International Pvt Ltd,,,,0
,21392,Metal Detecting Seperator (SMS-50),Metal Detecting Seperator (SMS-50),MICRO ELECTRIC,Micro Electric International Pvt Ltd,,,,0
3LG15040821,3LG15040821,Auto Loader,Auto Loader,,Jeewa Plastics Pvt Ltd,,,,0
2LG00016385,2LG00016385,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00016386,2LG00016386,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00015129,2LG00015129,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00015128,2LG00015128,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00017667,2LG00017667,Auto Loader,Auto Loader,,Jeewa Plastics Pvt Ltd,,,,0
2LG00017664,2LG00017664,Auto Loader,Auto Loader,,Micro Electric International Pvt Ltd,,,,0
2LG00017666,2LG00017666,Auto Loader,Auto Loader,,Micro Electric International Pvt Ltd,,,,0
2AL13030037,2AL13030037,Auto Loader,Auto Loader,,Sierra Cables Plc,,,,0
2AL13030038,2AL13030038,Auto Loader,Auto Loader,,Sierra Cables Plc,,,,0
2AL13030036,2AL13030036,Auto Loader,Auto Loader,,Sierra Cables Plc,,,,0
2LG13100060,2LG13100060,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00013294,2LG00013294,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00017763,2LG00017763,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00019502,2LG00019502,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00016532,2LG00016532,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
2LG00016533,2LG00016533,Auto Loader,Auto Loader,,E. B. Creasy & Company Plc,,,,Mr Prabath
,10070302,"SG-16N/20N"" LOW-SPEED GRANULATORS 3PH400V50HZ","SG-16N/20N"" LOW-SPEED GRANULATORS 3PH400V50HZ",CISCO,Cisco Speciality Packaging Ltd.,,,,0
2GE12090013,2GE12090013,Granulator Machine,Granulator Machine,,Sierra Cables Plc,,,,0
2SG12120019,2SG12120019,Granulator Machine,Granulator Machine,,Sierra Cables Plc,,,,0
2SG12120020,2SG12120020,Granulator Machine,Granulator Machine,,Sierra Cables Plc,,,,0
2SG12120021,2SG12120021,Granulator Machine,Granulator Machine,,Sierra Cables Plc,,,,0
3HD12104079,3HD12104079,Hopper Dryer,Hopper Dryer,,Ruby Plastics Pvt Ltd,,,,0
3HD15040973,3HD15040973,Hopper Dryer,Hopper Dryer,,Jeewa Plastics Pvt Ltd,,,,0
2CA00001365,2CA00001365,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CA00001364,2CA00001364,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CA00001671,2CA00001671,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CA00001670,2CA00001670,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CW13070037,2CW13070037,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
3CW14100241,3CW14100241,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CW14080016,2CW14080016,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CW15070041,2CW15070041,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CW15060016,2CW15060016,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CA16090007,2CA16090007,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2CW13070038,2CW13070038,Chiller,Chiller,,E. B. Creasy & Company Plc,,,,Mr Prabath
2MS00000022,2MS00000022,Metal Detecting Seperator,Metal Detecting Seperator,,Micro Electric International Pvt Ltd,,,,0
,21049 - 22/03/2022,Automatic Bottle top L shape Labeling Machine,Automatic Bottle top L shape Labeling Machine,SENA MILLS REFI,Sena Mills Refieries Pvt Ltd,,,,0
21232,1,Automatic Front Back Sides & Round  Bottle Labeling Machine,Automatic Front Back Sides & Round  Bottle Labeling Machine,MULTI CHEMI,Multichemi International Ltd,,,,0
,21446,TA.XTPlusC Texture Analyser,TA.XTPlusC Texture Analyser,PRIMA CEYLON,Prima Ceylon Pvt Ltd,,,,0
,21446,Volscan Profiller,Volscan Profiller,PRIMA CEYLON,Prima Ceylon Pvt Ltd,,,,0
,88,Hand Pallet Truck - (550 ND),Hand Pallet Truck - (550 ND),MEGA CARING,Mega Caring (Pvt) Ltd,,,,0
,89,Hand Pallet Truck - (550 PD),Hand Pallet Truck - (550 PD),MCW,Motha Confectionery Works (Pvt) Ltd,,,,0
,90,Hand Pallet Truck - (550 PD),Hand Pallet Truck - (550 PD),MAURI,Ab Mauri Lanka Pvt Ltd,,,,0
,21913-11,Hand Pallet Truck - (550 PD),Hand Pallet Truck - (550 PD),THINEERA,Thineera Traders,,,,0
,21913-22,Hand Pallet Truck - (550 PD),Hand Pallet Truck - (550 PD),MCW,Motha Confectionery Works (Pvt) Ltd,,,,Mr.Adrian
,21373,Diesel Seed Paddy Dryer - Super-60,Diesel Seed Paddy Dryer - Super-60,LAKBIMA RICE,Lakbima Rice Mills Pvt Ltd,,,,0
,21373-1,Diesel Seed Paddy Dryer - Super-60,Diesel Seed Paddy Dryer - Super-60,LAKBIMA RICE,Lakbima Rice Mills Pvt Ltd,,,,0
,21226 - 22/04,Fish Ball Forming Machine,Fish Ball Forming Machine,CEY AGRO IND,Ceylon Agro Industries Ltd,,,,0
,21112 - 1 -29/03/22,Multifunctional Vegetable Cutting Machine,Multifunctional Vegetable Cutting Machine,SAYALADU COCO,Sayaladu Coco Products (Private) Limited,,,,0
,21112 -2 - 29/03/22,Multifunctional Vegetable Cutting Machine,Multifunctional Vegetable Cutting Machine,Heal Acres,Heal Acres (Pvt) Ltd,,,,Manager Purchasing
,21239,Colloid Mill JM-FB80,Colloid Mill JM-FB80,SAYALADU COCO,Sayaladu Coco Products (Private) Limited,,,,0
