manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
,21/03/2022-3,Vacuum Packing Machine,Vacuum Packing Machine,NATURE CEYLON,Naturally Ceylon Pvt Ltd,,,,The Accountant
,21/03/2022-4,Vacuum Packing Machine,Vacuum Packing Machine,Best Food,Best Food Lanka,,,,Mr. Anasdeen
,21/03/2022-5,Vacuum Packing Machine,Vacuum Packing Machine,CIBO FOODS,CIBO Foods,,,,0
,22/03/2022/GRN20952/1,Vacuum Packing Machine,Vacuum Packing Machine,CeDS Pvt Ltd,CeDS Pvt Ltd,,,,Accounts
,22/03/2022/GRN20952/2,Vacuum Packing Machine,Vacuum Packing Machine,Ceylon First,Ceylon First Exports (pvt) Ltd,,,,Director
,22/03/2022/GRN20952/3,Vacuum Packing Machine,Vacuum Packing Machine,Sab Inter,Sab International Holdings Pvt Limited,,,,Director
,22/03/2022/GRN20952/4,Vacuum Packing Machine,Vacuum Packing Machine,Richi Dairies,Richi Daries Lanka (Pvt) Ltd,,,,Damitra Ekanayaka
,21988-01,Vacuum Packing Machine,Vacuum Packing Machine,Winmeworld,Winmeworld,,,,Director
,21988-02,Vacuum Packing Machine,Vacuum Packing Machine,JT MARKETING,Jt Marketing,,,,Mr.Thisula
,21988-03,Vacuum Packing Machine,Vacuum Packing Machine,CAFEX,CAFEX EXPORTS PVT LTD,,,,MD
,33,Vacuum Packing Machine,Vacuum Packing Machine,Folkland,Folkland Kitchen,,,,MD
,34,Vacuum Packing Machine,Vacuum Packing Machine,RAYON PRODUCTS,Rayon Products,,,,Owener
,35,Vacuum Packing Machine,Vacuum Packing Machine,Dota Ceylo,Dota Ceylon Hotels,,,,Owner
,36,Vacuum Packing Machine,Vacuum Packing Machine,HIRU PRODUCTS,Hiru Products Ceylon Pvt Ltd,,,,0
,AX 0000027896,Domino AX350i Printer  AX0000027896,Domino AX350i Printer  AX0000027896,SCAN,C W Mackie Plc,,,,Mr.Ranil
,AX0000039271,Domino  Ax 150i Printer Serila No AX0000039271,Domino  Ax 150i Printer Serila No AX0000039271,EBCC,E. B. Creasy & Company Plc,,,,Mr. Nalin
,AX0000039272,Domino  Ax 150i Printer Serila No AX0000039272,Domino  Ax 150i Printer Serila No AX0000039272,EBCC,E. B. Creasy & Company Plc,,,,Mr. Nalin
,AX0000039273,Domino  Ax 150i Printer Serila No AX0000039273,Domino  Ax 150i Printer Serila No AX0000039273,NATURE CEYLON,Naturally Ceylon Pvt Ltd,,,,The Accountant
,AX0000039274,Domino  Ax 150i Printer Serila No AX0000039274,Domino  Ax 150i Printer Serila No AX0000039274,DUALI,Duallink International (Pvt) Ltd.,,,,Mr. Jaliya Wellapully
,AX0000039275,Domino  Ax 150i Printer Serila No AX0000039275,Domino  Ax 150i Printer Serila No AX0000039275,FS Traders,FS Traders Pvt Ltd,,,,Manager Purchasing
,AX0000039276,Domino  Ax 150i Printer Serila No AX0000039276,Domino  Ax 150i Printer Serila No AX0000039276,SANMIK FOOD,Sanmik Food Pvt Ltd,,,,Mr.Sisira
,AX0000039277,Domino  Ax 150i Printer Serila No AX0000039277,Domino  Ax 150i Printer Serila No AX0000039277,R M CHEMICALS,R M C Ceylon (Pvt) Ltd,,,,Ms. Inoka De Silva
,AX0000039278,Domino  Ax 150i Printer Serila No AX0000039278,Domino  Ax 150i Printer Serila No AX0000039278,SANMIK FOOD,Sanmik Food Pvt Ltd,,,,Mr.Sisira
,AX0000039279,Domino  Ax 150i Printer Serila No AX0000039279,Domino  Ax 150i Printer Serila No AX0000039279,SANMIK FOOD,Sanmik Food Pvt Ltd,,,,Mr.Sisira
,AX0000039280,Domino  Ax 150i Printer Serila No AX0000039280,Domino  Ax 150i Printer Serila No AX0000039280,NATURE CEYLON,Naturally Ceylon Pvt Ltd,,,,The Accountant
